model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
resnet18,cifar100,SGD+WD,128,0.05,0.05,0.0,15,const,42,fixed,e3,293.25000000000006,12.52,6.27,3.4206287963867186,18.746,5.184684426879882,0,15,376.9
resnet18,cifar100,SGD+WD,128,0.2,0.05,0.0,15,const,42,fixed,e3,1173.0000000000002,3.28,2.44,4.477620410003662,2.41,4.452063485717773,0,15,379.6
resnet18,cifar100,SGD+WD,128,0.8,0.05,0.0,15,const,42,fixed,e3,4692.000000000001,1.46,1.0,4.6055978125,0.924,4.6054686920166015,0,15,380.2
resnet18,cifar100,SGD+WD,128,10.0,0.05,0.0,15,const,42,fixed,e3,58650.0,1.0,1.0,4.609804062652588,1.008,4.611723701477051,0,15,386.5
resnet18,cifar100,SGD+WD,128,3.0,0.05,0.0,15,const,42,fixed,e3,17595.0,1.0,1.0,4.606311406555176,0.978,4.60647631072998,0,15,388.9
resnet18,cifar100,SGD+WD,128,0.05,0.1,0.0,15,const,42,fixed,e3,293.25000000000006,7.95,1.0,4.6052695314025875,0.904,4.6051731750488285,0,15,359.2
resnet18,cifar100,SGD+WD,128,0.8,0.1,0.0,15,const,42,fixed,e3,4692.000000000001,1.0,1.0,4.605379765472412,0.942,4.605342988586425,0,15,351.4
resnet18,cifar100,SGD+WD,128,0.2,0.1,0.0,15,const,42,fixed,e3,1173.0000000000002,1.0,1.0,4.605307499694824,0.944,4.605205690002442,0,15,380.1
resnet18,cifar100,SGD+WD,128,20.0,0.1,0.0,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,55.6
resnet18,cifar100,SGD+WD,128,3.0,0.5,0.0,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,0.994,86262.872975,1,1,53.5
resnet18,cifar100,SGD+WD,128,3.0,0.1,0.0,15,const,42,fixed,e3,17595.0,1.0,1.0,4.605791875152588,1.016,4.6060035614013675,0,15,382.2
resnet18,cifar100,SGD+WD,128,10.0,0.5,0.0,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,1.008,nan,1,1,56.6
resnet18,cifar100,SGD+WD,128,20.0,0.5,0.0,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,56.0
resnet18,cifar100,SGD+WD,128,3.0,1.0,0.0,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,1.004,nan,1,1,56.1
resnet18,cifar100,SGD+WD,128,10.0,1.0,0.0,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,1.002,nan,1,1,56.5
resnet18,cifar100,SGD+WD,128,20.0,1.0,0.0,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,57.9
resnet18,cifar100,SGDM,128,3.0,0.0,0.9,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,1.008,nan,1,1,57.9
