model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
resnet34,cifar100,SGDM+WD,128,0.1,0.0003,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,76.0,75.93,0.0059453815892338,99.968,0.9729988523483276,0,100,1574.9
resnet34,cifar100,SGDM+WD,128,0.1,0.0006,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,77.39,77.31,0.0094868617984652,99.972,0.919708182144165,0,100,1590.9
resnet34,cifar100,SGDM+WD,128,0.1,0.001,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,78.41,78.38,0.0158442313307523,99.946,0.8753346132278442,0,100,1599.5
resnet34,cifar100,SGDM+WD,128,0.1,0.002,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,76.78,76.78,0.0506786234545707,99.512,0.9307839495658876,0,100,1593.8
resnet34,cifar100,SGDM+WD,128,0.1,0.003,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,73.87,73.87,0.2177479111862182,94.972,0.9635343906402588,0,100,1141.4
resnet34,cifar100,SGDM+WD,128,0.1,0.005,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,65.81,65.74,0.8320691476631165,77.514,1.2232059713363648,0,100,1133.8
resnet34,cifar100,SGDM+WD,128,0.1,0.001132,0.9,100,cosine,42,linear_up,e12_matched,1974.55,76.46,76.4,0.0144492991393804,99.974,0.9373436151504516,0,100,1562.4
resnet34,cifar100,SGDM+WD,128,0.1,0.0004724,0.9,100,cosine,42,linear,e12_matched,1974.55,76.75,76.75,0.0026754890178889,99.964,1.0802894012451172,0,100,1567.3
resnet34,cifar100,SGDM+WD,128,0.1,0.003397,0.9,100,cosine,42,linear_up,e12_matched,1974.55,78.16,78.07,0.0519444496262073,99.724,0.8514407900810241,0,100,1583.3
resnet34,cifar100,SGDM+WD,128,0.1,0.0001936,0.9,100,cosine,42,iso_product,e12_matched,1974.55,76.74,76.68,0.0212322386872768,99.96,0.9318943265914916,0,100,1602.1
resnet34,cifar100,SGDM+WD,128,0.1,0.001417,0.9,100,cosine,42,linear,e12_matched,1974.55,76.97,76.91,0.0061340858834981,99.932,1.0740551255226136,0,100,1586.3
resnet34,cifar100,SGDM+WD,128,0.1,0.0005809,0.9,100,cosine,42,iso_product,e12_matched,1974.55,78.18,77.82,0.1050520892763137,99.336,0.8688295860290527,0,100,1589.2
