method,dataset,num_layers,hidden_dim,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,512,128,0.7,0.0001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.7,0.0003,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,1.5,0.0003,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,2.0,0.0001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,1.5,0.0001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,10.0,0.0001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,3.0,0.0003,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,3.0,0.0001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,2.0,0.0003,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,2.0,0.001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,1.5,0.001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.7,0.003,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.7,0.001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.5,0.003,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.2,0.001,0.9,30,42,0.7974020566940307,72.438,1.3376727931976318,55.18,1.3376727931976318,55.18,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.01,0.9,30,42,1.214462854785919,57.584,1.3456779163360595,52.42,1.3456779163360595,52.42,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.003,0.9,30,42,0.9525299882316589,67.468,1.2813830032348632,55.62,1.2813830032348632,55.62,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.001,0.9,30,42,1.089985216255188,61.204,1.3483668058395386,52.69,1.3483668058395386,52.69,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.0003,0.9,30,42,1.0138159065246581,63.882,1.3759410276412964,53.25,1.3759410276412964,53.25,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.0001,0.9,30,42,2.302638790740967,10.0,2.30259216003418,10.0,2.30259216003418,10.0,0,30
