model,seed,batch_size,lr,wd_argmax,acc_max,n_points,wd_interp,interior,sum_lr,C
resnet18,123,128,0.3,0.0005,75.41,17,0.00038764225655880973,True,5923.65,2.296257053064593
resnet18,123,128,0.5,0.0002,75.95,7,0.0001935155591886906,True,9872.75,1.9105307369801452
resnet18,123,256,0.2,0.001,76.24,12,0.0014142135623730957,True,1979.6000000000001,2.7995771680737804
resnet18,123,512,0.4,0.001,75.02,12,0.0014142135623730957,True,1979.6000000000001,2.7995771680737804
resnet50,42,64,0.05,0.001,77.72,6,0.0008434270869477556,True,1974.5500000000002,1.665388954532691
resnet50,42,128,0.01,0.005,79.68,8,0.005079617830281454,True,197.455,1.0029959386782246
resnet50,42,128,0.05,0.001,77.92,8,0.0008792136649492483,True,987.2750000000001,0.8680256710627692
resnet50,42,128,0.1,0.001,77.58,14,0.0014142135623730957,True,1974.5500000000002,2.792435389583796
resnet50,42,128,0.2,0.0005,77.9,6,0.0004327446572344806,True,3949.1000000000004,1.7089519258846875
resnet50,42,128,0.3,0.0005,77.66,5,0.0003607512174043095,True,5923.65,2.1369639489770376
resnet50,42,256,0.2,0.001,77.15,6,0.0007175442485838614,True,1979.6000000000001,1.4204505944966122
resnet50,42,512,0.4,0.001,74.95,5,0.0007166816213743546,True,1979.6000000000001,1.4187429376726723
resnet50,123,64,0.05,0.0005,77.48,6,0.0005955803623451917,True,1974.5500000000002,1.1760032044686983
resnet50,123,128,0.01,0.005,79.3,8,0.0048127042098987,True,197.455,0.9502925097655479
resnet50,123,128,0.05,0.002,78.02,8,0.00142629256202726,True,987.2750000000001,1.4081429891754633
resnet50,123,128,0.1,0.001,77.11,14,0.0014142135623730957,True,1974.5500000000002,2.792435389583796
resnet50,123,128,0.2,0.0005,77.39,6,0.0003307918428790424,True,3949.1000000000004,1.3063300667136266
resnet50,123,128,0.3,0.0002,78.34,5,0.00020139421902598965,True,5923.65,1.1929888655333034
resnet50,123,256,0.2,0.0005,77.31,6,0.0006255400096229968,True,1979.6000000000001,1.2383190030496845
resnet50,123,512,0.4,0.0005,76.69,6,0.0005181309343944339,True,1979.6000000000001,1.0256919977272214
vgg16,42,64,0.05,0.001,73.58,6,0.0009809300876689186,True,1974.5500000000002,1.9368955046066636
vgg16,42,128,0.01,0.005,74.93,8,0.007025709022946044,True,197.455,1.3872613751258112
vgg16,42,128,0.05,0.001,73.72,8,0.0013163578382858405,True,987.2750000000001,1.2996071847936532
vgg16,42,128,0.1,0.001,73.03,13,0.0014142135623730957,True,1974.5500000000002,2.792435389583796
vgg16,42,128,0.2,0.0005,72.78,5,0.0004641994250686608,True,3949.1000000000004,1.8331699495386486
vgg16,42,128,0.3,0.0005,72.24,5,0.00036688572323520047,True,5923.65,2.173302614442195
vgg16,42,256,0.2,0.001,73.0,6,0.0009310349406037564,True,1979.6000000000001,1.8430767684191964
vgg16,42,512,0.4,0.001,71.72,6,0.0010146995635973237,True,1979.6000000000001,2.008699256097262
vgg16,123,64,0.05,0.001,73.71,6,0.0008312378961427847,True,1974.5500000000002,1.6413207878287357
vgg16,123,128,0.05,0.001,73.73,8,0.0010905077326652563,True,987.2750000000001,1.076631021767091
vgg16,123,128,0.1,0.0005,73.08,7,0.0007905694150420946,True,1974.5500000000002,1.5610188384713681
vgg16,123,128,0.2,0.0005,73.15,5,0.00045878459255250365,True,3949.1000000000004,1.8117862344490923
vgg16,123,128,0.3,0.0002,72.3,5,0.0002808492437943339,True,5923.65,1.6636526230023059
vgg16,123,256,0.2,0.001,72.91,6,0.0009532001368913964,True,1979.6000000000001,1.8869549909902084
vgg16,123,512,0.4,0.001,72.0,5,0.0007494839380327006,True,1979.6000000000001,1.483678403729534
