hidden_dim,momentum,lr,rule,lambda_rule,lambda_oracle,ratio,loss,acc,oracle_loss,oracle_acc,gap_loss,gap_acc,diverged,n_grid,C_pred,sum_lr
1024,0.9,0.2,wang,0.000533049,0.000533049,1.0,0.0411475595831871,98.78,0.0411475595831871,98.81,0.0,0.030000000000001137,0,9,0.2572503324468361,984.9000000000001
1024,0.9,0.2,kosson,0.000323729,0.000533049,0.6073156501559894,0.0437557720780372,98.73,0.0411475595831871,98.81,0.002608212494850097,0.0799999999999983,0,9,0.2572503324468361,984.9000000000001
1024,0.9,0.2,ours,0.000261194,0.000533049,0.48999998123999866,0.0437445923447608,98.66,0.0411475595831871,98.81,0.002597032761573699,0.15000000000000568,0,9,0.2572503324468361,984.9000000000001
2048,0.9,0.05,default,0.0005,0.0005,1.0,0.0442668312430381,98.57,0.0442668312430381,98.68,0.0,0.11000000000001364,0,9,0.2131772577660315,246.22500000000002
2048,0.9,0.05,wang,0.0021322,0.0005,4.264399999999999,0.0511773473739624,98.43,0.0442668312430381,98.68,0.006910516130924298,0.25,0,9,0.2131772577660315,246.22500000000002
2048,0.9,0.05,kosson,0.00129492,0.0005,2.5898399999999997,0.0463418680429458,98.48,0.0442668312430381,98.68,0.002075036799907698,0.20000000000000284,0,9,0.2131772577660315,246.22500000000002
2048,0.9,0.05,ours,0.000865782,0.0005,1.731564,0.0448718715786933,98.55,0.0442668312430381,98.68,0.0006050403356551992,0.13000000000000966,0,9,0.2131772577660315,246.22500000000002
2048,0.9,0.1,default,0.0005,0.0005,1.0,0.0410289620757102,98.7,0.0410289620757102,98.73,0.0,0.030000000000001137,0,9,0.2131772577660315,492.45000000000005
2048,0.9,0.1,wang,0.0010661,0.0005,2.1321999999999997,0.0430691598057746,98.66,0.0410289620757102,98.73,0.0020401977300644053,0.07000000000000739,0,9,0.2131772577660315,492.45000000000005
2048,0.9,0.1,kosson,0.000647459,0.0005,1.294918,0.0419112072706222,98.65,0.0410289620757102,98.73,0.000882245194912,0.0799999999999983,0,9,0.2131772577660315,492.45000000000005
2048,0.9,0.1,ours,0.000432891,0.0005,0.865782,0.0418697952508926,98.72,0.0410289620757102,98.73,0.0008408331751824025,0.010000000000005116,0,9,0.2131772577660315,492.45000000000005
2048,0.9,0.2,default,0.0005,0.000533049,0.9380000712880056,0.041880009150505,98.75,0.0403187932491302,98.82,0.001561215901374799,0.06999999999999318,0,9,0.2131772577660315,984.9000000000001
2048,0.9,0.2,wang,0.000533049,0.000533049,1.0,0.0403187932491302,98.82,0.0403187932491302,98.82,0.0,0.0,0,9,0.2131772577660315,984.9000000000001
2048,0.9,0.2,kosson,0.000323729,0.000533049,0.6073156501559894,0.0428348972201347,98.76,0.0403187932491302,98.82,0.0025161039710044977,0.05999999999998806,0,9,0.2131772577660315,984.9000000000001
2048,0.9,0.2,ours,0.000216446,0.000533049,0.40605272686000726,0.0450762877464294,98.65,0.0403187932491302,98.82,0.004757494497299196,0.1699999999999875,0,9,0.2131772577660315,984.9000000000001
