setting,phase,wd_sched,lambda0,budget_c,best_acc,diverged,exp,src
mlp/mnist,SGDM,iso_product,0.0002614,1.5000085006206116,98.6,0,e12_matched,e12
mlp/mnist,SGDM,iso_product,0.0003485,1.9998200553415526,98.58,0,e12_matched,e12
mlp/mnist,SGDM,iso_product,0.0004357,2.5002054465202788,98.39,0,e12_matched,e12
mlp/mnist,SGDM,iso_product,0.0005228,3.0000170012412233,98.41,0,e12_matched,e12
mlp/mnist,SGDM,iso_product,0.0006971,4.000213947140887,98.25,0,e12_matched,e12
mlp/mnist,SGDM,linear,0.0001417,0.3332798192325192,98.74,0,e12_matched,e12
mlp/mnist,SGDM,linear,0.0004252,1.0000746586991331,98.77,0,e12_matched,e12
mlp/mnist,SGDM,linear,0.0006378,1.500111988048699,98.76,0,e12_matched,e12
mlp/mnist,SGDM,linear,0.0008503,1.999914116396691,98.71,0,e12_matched,e12
mlp/mnist,SGDM,linear,0.001063,2.500186646747831,98.71,0,e12_matched,e12
mlp/mnist,SGDM,linear,0.001276,3.0011647801037027,98.68,0,e12_matched,e12
mlp/mnist,SGDM,linear,0.001701,4.000769036799684,98.76,0,e12_matched,e12
mlp/mnist,SGDM,linear_up,0.0003397,0.333355530981274,98.68,0,e12_matched,e12
mlp/mnist,SGDM,linear_up,0.001019,0.9999684606120641,98.73,0,e12_matched,e12
mlp/mnist,SGDM,linear_up,0.001529,1.5004433525768857,98.6,0,e12_matched,e12
mlp/mnist,SGDM,linear_up,0.002038,1.9999369212241283,98.57,0,e12_matched,e12
mlp/mnist,SGDM,linear_up,0.002548,2.5004118131889492,98.57,0,e12_matched,e12
mlp/mnist,SGDM,linear_up,0.003057,2.999905381836192,98.53,0,e12_matched,e12
mlp/mnist,SGDM,linear_up,0.004076,3.9998738424482565,98.36,0,e12_matched,e12
resnet18/cifar100,SGD,fixed,0.0001,0.02,73.31,0,e6b,e11
resnet18/cifar100,SGD,fixed,0.0003,0.06000000000000002,74.46,0,e6b,e11
resnet18/cifar100,SGD,fixed,0.0005,0.09999999999999994,75.04,0,e8_e4_baseline,e11
resnet18/cifar100,SGD,fixed,0.0005982,0.11963999999999994,75.33,0,e8_e4_baseline,e11
resnet18/cifar100,SGD,fixed,0.001,0.19999999999999987,75.87,0,e8_e4_baseline,e11
resnet18/cifar100,SGD,fixed,0.002,0.39999999999999974,77.47,0,e8_e4_baseline,e11
resnet18/cifar100,SGD,fixed,0.003,0.5999999999999998,77.64,0,e6b,e11
resnet18/cifar100,SGD,fixed,0.005,1.0,77.75,0,e12_ms,e12
resnet18/cifar100,SGD,fixed,0.005,1.0,77.75,0,e8_e4_baseline,e11
resnet18/cifar100,SGD,iso_product,0.0001158,0.03987015708612087,74.18,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.0003475,0.11964490144582927,75.16,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.0005212,0.1794501370750106,75.73,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.000695,0.23928980289165855,75.78,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.0008687,0.29909503852084,76.14,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.001042,0.35876255340015506,76.69,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.00139,0.4785796057833171,77.31,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.002085,0.717869408674976,77.68,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.003127,1.0766319620751297,77.83,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.005212,1.7945013707501043,78.01,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.008687,2.9909503852083983,57.74,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.0139,4.785796057833172,39.63,0,e11_matched,e11
resnet18/cifar100,SGD,iso_product,0.02085,7.178694086749756,31.43,0,e11_matched,e11
